iter	Passed	Remaining
0	1	140
1	2	128
2	3	124
3	5	121
4	6	123
5	7	124
6	9	121
7	10	118
8	11	115
9	12	112
10	13	110
11	14	108
12	15	106
13	17	104
14	18	103
15	19	102
16	20	101
17	21	99
18	23	98
19	24	96
20	25	94
21	26	93
22	27	91
23	28	90
24	29	88
25	30	87
26	31	86
27	32	84
28	34	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	77
34	40	76
35	42	74
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	64	48
57	65	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	91	22
80	92	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	112	2
98	113	1
99	114	0
